actual/predicted,CH,FC,FF,KC,SI,SL
CH,61,0,50,113,23,152
FC,0,0,0,2,0,0
FF,77,0,149,264,35,517
KC,54,0,90,172,12,243
SI,0,0,8,10,2,59
SL,16,0,29,44,8,178
