actual/predicted,CH,FC,FF,FS,KC,SI,SL
CH,0,0,29,3,4,0,5
FC,0,0,0,0,0,0,0
FF,0,0,410,15,15,81,60
FS,0,0,38,8,1,3,2
KC,1,0,174,12,8,5,32
SI,0,0,278,13,7,190,49
SL,0,0,336,3,12,116,104
