actual/predicted,CH,FC,FF,FS,KC,SI,SL
CH,1,1,31,2,1,2,3
FC,0,0,0,0,0,0,0
FF,1,0,460,7,4,65,44
FS,0,0,42,6,0,2,2
KC,0,0,201,9,3,7,12
SI,0,1,347,1,1,134,53
SL,1,0,366,4,13,106,81
