actual/predicted,CH,CU,FC,FF,FS,KC,SI,SL
CH,0,0,0,0,0,0,0,0
CU,0,27,90,2,22,0,0,9
FC,0,0,0,0,0,0,0,0
FF,0,75,558,9,69,0,15,43
FS,0,61,175,12,108,0,3,44
KC,0,0,0,0,0,0,0,0
SI,0,1,17,0,1,0,0,0
SL,0,72,495,15,77,0,5,68
