actual/predicted,CH,CU,FC,FF,SI,SL,ST
CH,35,63,8,46,12,0,3
CU,44,75,36,99,60,0,54
FC,10,22,69,40,93,0,16
FF,37,80,31,192,76,3,33
SI,5,15,47,28,133,0,80
SL,0,1,7,3,18,2,7
ST,9,12,4,4,41,0,280
