actual/predicted,CH,CU,FC,FF,SI,ST
CH,75,75,0,61,7,222
CU,22,33,0,15,6,113
FC,0,0,0,0,0,0
FF,121,94,0,121,55,467
SI,3,1,0,12,38,97
ST,46,28,0,24,26,290
