actual/predicted,CH,CU,FC,FF,SI,SL,ST
CH,6,3,200,0,0,0,39
CU,4,3,293,0,8,0,76
FC,7,1,511,0,15,0,43
FF,6,1,186,0,9,0,39
SI,2,0,225,0,25,0,89
SL,1,0,21,0,1,0,8
ST,1,1,162,0,13,0,56
