actual/predicted,CH,CU,FC,FF,FS,SI,ST
CH,0,0,0,0,0,0,0
CU,0,2,12,17,184,3,4
FC,0,2,5,18,164,1,0
FF,0,7,31,166,479,91,165
FS,0,1,7,7,156,7,23
SI,0,0,8,15,64,96,216
ST,0,3,1,10,106,43,183
