actual/predicted,CH,CU,FC,FF,FS,SI,SL,ST
CH,0,14,22,0,9,57,0,0
CU,0,25,84,2,10,218,1,6
FC,0,37,107,2,13,184,0,12
FF,0,16,58,2,12,136,0,4
FS,0,4,8,0,6,18,0,2
SI,0,18,82,4,16,782,0,16
SL,0,0,12,0,0,55,0,0
ST,0,1,10,0,0,95,0,9
