actual/predicted,CH,FC,FF,FS,KC,SI,SL
CH,2,0,21,1,6,3,8
FC,0,0,0,0,0,0,0
FF,2,2,386,21,24,79,67
FS,0,0,38,2,1,8,3
KC,0,1,169,10,4,18,30
SI,2,3,285,10,26,119,92
SL,3,5,351,16,11,96,89
