actual/predicted,CH,CU,FC,FF,SI,SL,ST
CH,25,7,147,3,17,1,48
CU,28,28,192,6,38,1,91
FC,27,32,343,10,63,7,95
FF,17,14,123,4,28,1,54
SI,4,6,203,4,36,0,88
SL,0,0,17,0,1,0,13
ST,7,11,120,2,35,0,58
