actual/predicted,CH,FC,FF,KC,SI,SL
CH,21,2,301,75,0,0
FC,0,0,2,0,0,0
FF,27,2,834,178,0,1
KC,16,7,430,118,0,0
SI,0,0,63,15,0,1
SL,5,1,209,59,0,1
