actual/predicted,CH,FC,FF,FS,KC,SI,SL
CH,0,0,6,16,4,2,13
FC,0,0,0,0,0,0,0
FF,0,0,191,104,21,102,163
FS,0,0,12,12,3,3,22
KC,0,0,65,68,19,7,73
SI,0,0,117,43,19,207,151
SL,0,0,141,83,16,135,196
