actual/predicted,CH,CU,FC,FF,SI,ST
CH,106,31,0,283,7,13
CU,32,16,0,126,2,13
FC,0,0,0,0,0,0
FF,146,23,1,625,23,40
SI,22,0,0,89,16,24
ST,73,10,0,257,17,57
