actual/predicted,CH,CS,CU,FF,SI,SL,ST
CH,3,0,50,104,22,58,0
CS,0,0,1,2,2,1,0
CU,3,0,79,125,72,99,0
FF,8,0,64,294,83,132,3
SI,0,0,18,113,100,122,2
SL,10,0,55,164,74,158,0
ST,0,0,9,21,8,20,0
