actual/predicted,CH,CU,FC,FF,SI,SL,ST
CH,152,2,7,2,0,0,4
CU,211,3,95,11,2,0,46
FC,42,0,188,6,4,0,10
FF,241,5,127,38,4,0,37
SI,37,0,162,1,13,0,95
SL,1,0,29,0,0,0,8
ST,30,0,36,0,2,0,282
