actual/predicted,CH,CU,FC,FF,SI,SL,ST
CH,40,38,90,30,15,0,35
CU,36,70,141,29,65,1,42
FC,34,101,264,63,80,1,34
FF,29,41,71,36,26,2,36
SI,7,21,162,20,88,1,42
SL,2,3,10,4,7,0,5
ST,9,28,92,13,59,0,32
