actual/predicted,CH,FC,FF,FS,KC,SI,SL
CH,0,0,10,10,12,2,7
FC,0,0,0,0,0,0,0
FF,0,0,281,63,34,106,97
FS,0,0,23,11,5,6,7
KC,0,0,84,43,31,24,50
SI,1,0,179,35,22,211,89
SL,1,1,223,57,39,122,128
