actual/predicted,CH,CU,FC,FF,SI,SL,ST
CH,28,42,88,45,31,1,13
CU,41,90,118,34,74,2,25
FC,48,109,237,79,79,2,23
FF,28,35,71,45,44,2,16
SI,22,27,141,27,103,2,19
SL,3,3,9,4,9,0,3
ST,19,36,92,12,53,6,15
