actual/predicted,CH,CU,FC,FF,SI,SL
CH,48,35,57,17,14,36
CU,2,2,2,2,0,0
FC,82,67,169,63,49,112
FF,8,2,3,2,1,11
SI,60,70,136,76,53,206
SL,85,76,166,75,29,257
