actual/predicted,CH,CS,CU,FF,SI,SL,ST
CH,49,1,4,121,23,37,2
CS,1,0,0,1,1,3,0
CU,40,0,9,162,43,106,18
FF,62,0,11,287,65,144,15
SI,9,0,9,124,47,163,3
SL,31,1,5,215,47,162,0
ST,2,0,4,10,10,22,10
