actual/predicted,CH,CU,FC,FF,SI,SL,ST
CH,133,14,6,11,1,0,2
CU,171,23,82,35,17,0,40
FC,38,5,146,10,42,7,2
FF,178,26,85,100,24,9,30
SI,26,2,114,14,70,3,79
SL,1,0,22,1,6,2,6
ST,23,6,22,0,24,0,275
