actual/predicted,CH,CU,FC,FF,SI,SL
CH,2,0,39,1,57,108
CU,0,0,0,0,1,7
FC,6,0,92,5,212,227
FF,1,0,6,2,4,14
SI,4,0,61,5,207,324
SL,2,3,119,6,148,410
