actual/predicted,CH,CU,FC,SI,SL,ST
CH,62,22,114,0,2,0
CU,47,46,258,11,37,0
FC,85,38,847,6,39,0
SI,0,8,118,20,45,0
SL,1,10,76,11,64,0
ST,0,3,26,0,22,0
