actual/predicted,CH,CU,FC,FF,SI,SL
CH,253,0,0,179,0,276
CU,0,0,0,1,0,5
FC,96,0,0,59,2,266
FF,170,0,3,215,1,391
SI,0,0,0,0,0,83
SL,2,0,0,2,0,68
