actual/predicted,CH,CU,FC,FF,SI,SL,ST
CH,6,2,57,13,1,41,9
CU,6,4,66,9,4,57,3
FC,0,1,1,0,0,1,0
FF,27,10,250,36,23,385,41
SI,6,2,53,10,25,308,25
SL,3,3,45,16,9,200,22
ST,8,6,62,15,10,256,71
