actual/predicted,CH,FC,FF,SI,SL,ST
CH,0,0,0,0,0,0
FC,0,42,68,28,3,35
FF,0,57,107,16,11,37
SI,0,225,317,110,33,174
SL,0,114,244,68,49,138
ST,0,63,99,42,22,49
