actual/predicted,CH,CU,FC,FF,FS,SI,SL,ST
CH,5,11,25,1,7,52,1,0
CU,2,35,68,0,18,206,2,15
FC,1,37,96,7,21,166,3,24
FF,2,20,63,4,19,112,0,8
FS,0,5,11,2,4,15,0,1
SI,2,25,87,10,54,708,5,27
SL,2,0,6,0,5,52,0,2
ST,0,3,7,1,2,87,0,15
