actual/predicted,CH,CU,FC,FF,FS,SI,SL,ST
CH,7,0,5,3,73,11,3,0
CU,30,4,30,17,169,74,13,9
FC,25,4,27,18,173,89,11,8
FF,16,4,16,5,140,31,6,10
FS,4,0,0,0,25,7,2,0
SI,129,4,58,30,462,193,19,23
SL,10,1,4,2,38,9,1,2
ST,13,1,8,2,35,48,1,7
