actual/predicted,CH,CU,FC,FF,SI,ST
CH,122,23,2,246,2,45
CU,51,9,1,98,4,26
FC,0,0,0,0,0,0
FF,199,46,2,478,13,120
SI,38,3,1,72,13,24
ST,113,12,1,217,13,58
