actual/predicted,CH,FF,KC,SI,SL,ST
CH,2,0,0,0,0,2
FF,194,110,0,79,67,633
KC,80,18,0,8,10,97
SI,15,8,0,8,4,64
SL,179,76,0,99,75,575
ST,7,1,0,12,9,70
