actual/predicted,CH,CU,FC,FF,SI,SL,ST
CH,45,16,9,9,3,12,4
CU,53,87,37,10,19,8,15
FC,26,48,63,8,39,8,27
FF,159,130,91,65,90,93,75
SI,41,48,41,18,184,90,75
SL,31,12,3,8,30,59,27
ST,49,25,23,28,53,67,139
