actual/predicted,CH,CS,CU,FF,SI,SL,ST
CH,180,5,0,0,3,1,48
CS,3,0,0,0,0,0,3
CU,152,2,0,0,1,2,221
FF,291,5,0,1,18,0,269
SI,65,2,0,0,11,1,276
SL,190,1,0,1,9,1,259
ST,5,2,0,0,0,0,51
