actual/predicted,CH,CU,FC,FF,FS,SI,ST
CH,0,0,0,0,0,0,0
CU,0,0,0,0,222,0,0
FC,0,0,0,0,190,0,0
FF,0,0,0,0,827,1,111
FS,0,0,0,0,200,0,1
SI,0,0,0,0,291,0,108
ST,0,0,0,0,291,0,55
