actual/predicted,CH,FF,KC,SI,SL,ST
CH,0,4,0,0,0,0
FF,35,604,13,51,345,35
KC,3,126,7,17,47,13
SI,2,30,3,25,34,5
SL,28,451,8,50,439,28
ST,2,32,0,16,40,9
