actual/predicted,CH,CU,FC,FF,SI,SL
CH,222,87,19,14,25,187
CU,53,56,3,10,5,47
FC,112,67,35,20,16,172
FF,117,64,23,36,23,154
SI,58,26,10,17,16,128
SL,9,2,8,0,4,102
