actual/predicted,CH,CU,FC,FF,FS,SI,ST
CH,0,0,0,0,0,0,0
CU,0,9,23,174,1,11,4
FC,0,5,18,153,0,13,1
FF,0,18,69,705,2,125,20
FS,0,3,19,156,1,18,4
SI,0,2,26,257,0,91,23
ST,0,6,35,205,0,80,20
