actual/predicted,CH,CU,FC,FF,SI,SL,ST
CH,4,5,41,55,6,7,11
CU,0,6,45,60,20,9,9
FC,0,0,0,3,0,0,0
FF,7,28,153,253,194,47,90
SI,2,7,35,89,205,37,54
SL,3,12,30,83,102,17,51
ST,3,8,35,121,108,43,110
