actual/predicted,CH,CU,FC,FF,SI,SL,ST
CH,18,31,33,135,0,0,4
CU,5,48,39,166,0,0,5
FC,1,12,93,123,28,3,29
FF,8,36,120,491,41,3,54
SI,1,9,43,37,22,1,32
SL,0,0,0,0,0,0,0
ST,0,14,72,69,25,6,122
