actual/predicted,CH,CU,FC,FF,SI,SL,ST
CH,25,21,0,51,6,16,10
CU,14,37,1,55,13,13,16
FC,0,1,0,1,1,0,0
FF,59,90,6,294,117,130,76
SI,26,16,2,132,115,77,61
SL,15,13,2,101,61,50,56
ST,23,28,1,140,68,79,89
