actual/predicted,CH,CU,FC,FF,SI,SL,ST
CH,3,60,98,10,0,0,50
CU,2,39,164,10,0,0,48
FC,1,9,60,3,26,0,190
FF,2,60,294,19,37,0,341
SI,2,9,5,2,8,0,119
SL,0,0,0,0,0,0,0
ST,0,2,10,0,10,0,286
