actual/predicted,CH,CU,FC,FF,SI,SL
CH,82,131,0,32,1,44
CU,40,230,0,51,8,87
FC,0,0,0,0,0,0
FF,136,402,0,87,31,178
SI,4,13,0,3,3,8
SL,52,427,0,101,30,278
