actual/predicted,CH,CU,FC,FF,SI,SL
CH,63,130,0,0,215,7
CU,92,347,2,0,315,13
FC,0,0,0,0,0,0
FF,2,0,0,0,1,0
SI,102,186,0,0,715,8
SL,10,18,0,1,29,4
