actual/predicted,CH,CU,FC,FF,SI,SL
CH,91,1,0,130,7,61
CU,55,2,0,194,37,128
FC,0,0,0,0,0,0
FF,155,11,0,431,64,173
SI,2,1,0,21,3,4
SL,112,5,0,415,56,300
