actual/predicted,CH,CU,FC,FF,SI,SL,ST
CH,12,9,58,24,7,10,9
CU,11,12,77,10,16,16,7
FC,0,1,0,2,0,0,0
FF,38,47,267,84,138,139,59
SI,9,10,87,53,141,85,44
SL,16,12,52,38,70,63,47
ST,13,9,83,67,80,82,94
